Organization,Country,Info,Organization categorization,All ML Systems
DeepSeek,China,,Industry,"DeepSeek Coder 33B,DeepSeek LLM 67B,DeepSeekMoE-16B,DeepSeek-Coder-V2 236B,DeepSeek-V2 (MoE-236B),DeepSeek-V2.5,Janus 1.3B,DeepSeek-LLM-1.3b-base,DeepSeek-R1-Lite-Preview,DeepSeek-Prover-V1.5,DeepSeekMath 7B,DeepSeek Coder 1.3B,DeepSeek Coder 6.7B,DeepSeek LLM 7B,DeepSeek-V3,DeepSeek-R1,DeepSeek-R1-Zero,Janus-Pro-7B,Janus-Pro-1B,DeepSeek-R1-Distill-Llama-70B,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-14B,DeepSeek-VL-7B,DeepSeek-VL-1.3B,DeepSeek-Prover-V2-671B,DeepSeek-Prover-V2-7B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen-7B"
deepset,Germany,,Industry,"GBERT-Large,German ELECTRA Large"
Deezer Research,France,,,"MGK 4 heads (medium),MGK 8 heads (small)"
Dell Technologies,United States of America,,Industry,
Denvr Dataworks,Canada,,Industry,
Dezhou University,China,,Academia,SPIDER2
Discover Dollar,India,,Industry,StarCoder
Distributed Research using Advanced Computing (DiRAC),United Kingdom of Great Britain and Northern Ireland,,Government,
Dongbei University of Technology,China,,Academia,GraphMS
DP Technology,China,,Industry,"Uni-RNA-L8,Uni-RNA-L-24,Uni-RNA-L12,Uni-RNA-L16,Uni-Mol Molecular Model"
Dreamfold,Canada,,Industry,"FoldFlow2,FoldFlow"
DSO National Laboratories,Singapore,DSO National Laboratories is a national defence research and development organisation in Singapore developing technological solutions for defence and national security.,Government,"SPN-4+KN5,SPN-4"
Du Xiaoman,China,,Industry,XuanYuan 2.0
Dublin City University,Ireland,,Academia,genCNN + dyn eval
Duke University,United States of America,,Academia,"OR-WideResNet,ISS,AlexNet + coordinating filters,PTM-Mamba,PepPrCLIP,PepMLM"
East China Normal University,China,,Academia,MolPath
East China University of Science and Technology,China,,Academia,"ProSST,ProtSSN,Pro-PRIME"
École des Ponts ParisTech,France,,Academia,Rotation
Ecole Normale Supèrieure,France,,Academia,"Mid-level Features,Spatial Pyramid Matching,RFdiffusion"
Ecole Polytechnique F´ed´erale de Lausanne (EPFL),Switzerland,,Academia,"Self-Attention and Convolutional Layers,GCRN-M1, dropout,Alleviated TOI 10 (WT103),Alleviated TOI 10 (PTB),Alleviated TOI 10 (WT2),DiffSBDD (CrossDocked),Genesis,DiffPALM,RENNAISSANCE,BindCraft,MPNNsol,Meditron-70B"
Eindhoven University of Technology,Netherlands,,Academia,"Selfish-RNN (SNT-ASGD) Stacked LSTMs,Selfish-RNN (ON-LSTM),Selfish-RNN (SNT-ASGD)RHNs,Selfish-RNN (AWD-LSTM-MoS)"
EleutherAI,"Multinational,United States of America",,Research collective,"GPT-NeoX-20B,GPT-Neo-2.7B,StarCoder,SantaCoder,Polyglot-Ko-12.8B,Pythia-12b,GPT-Neo-125M (finetuned),GPT-Neo-1.3B (finetuned),GPT-Neo-1.3B,GPT-Neo-125M,GPT-Neo-2.7B (finetuned),GPT-Neo-2.7B (finetuned on PTB),GPT-J-6B,Pythia-2.8b,Pythia-6.9b,Pythia-160m,Pythia-1b,Pythia-1.4b,Pythia-70m,Pythia-410m,RWKV-6 (Finch) 3B,RWKV-5 (Eagle) 7B,Llemma 34B,Llemma 7B"
Elyza,Japan,"Elyza is an AI company that specializes in the research, development, and implementation of large-scale language model applications.",Industry,Elyza
Eni,Italy,,Industry,
Equall.ai,United States of America,,Industry,"ColPali,SaulLM-large"
ESAT - PSI,Belgium,,Academia,"LSTM+NeuralCache,TF-LM-discourse LSTM (PTB),TF-LM-discourse LSTM (WT2)"
ETH AI Center,Switzerland,,Research collective,Rethinking Molecular Design: Integrating Latent Variable and Auto-Regressive Models for Goal Directed Generation
ETH Domain,Switzerland,,Academia,
ETH Zurich,Switzerland,,Academia,"TSN,PG-SWGAN,VD-RHN,Persia,DiT-XL/2 + CADS,EquiDock,Fairseq + UID: variance,Variational RHN + WT (PTB),YOLOv8 (reCAPTCHA fine-tuned),RoBERTa (PFAM),Rethinking Molecular Design: Integrating Latent Variable and Auto-Regressive Models for Goal Directed Generation,ColPali,SignalP 6.0,SILC-S* (86M),SILC-S,Boltz-2"
EURECOM,France,https://www.eurecom.fr/en,Academia,Markov-driven POS tagger
EuroHPC JU,Multinational,Public private partnership among EU countries,Government,
European Bioinformatics Institute,Multinational,,Research collective,"ProtENN2,SignalP 6.0"
EvolutionaryScale,United States of America,Founded by ex-Meta researchers,Industry,"ESM3 (98B),ESM3-open-small"
Export and Investment Fund of Denmark,Denmark,,Government,
ExxonMobil,United States of America,,Industry,
Facebook,United States of America,,Industry,"DLRM-2022,wave2vec 2.0 LARGE,XLM,ResNeXt-101 32x48d,ResNeXt-50,DeepFace,AdClickNet,LaNet-L (CIFAR-10),Transformer - LibriVox + Decoding/Rescoring,DETR,Retrieval-Augmented Generator,SeamlessM4T,CamemBERT,RoBERTa Large,RoBERTa Base,Coconut"
Facebook AI,United States of America,,Industry,"DLRM-2020,ResNet-50 Billion-scale,ResNeXt-101 Billion-scale,FixRes ResNeXt-101 WSL,BART-large,MoCo,XLM-RoBERTa,mBART-50,Memformer (4 encoder + 16 decoder)"
Facebook AI Research,"United States of America,Israel",,Industry,"HuBERT,SEER,Generative BST,XLMR-XXL,AlphaX-1,Pluribus,Mask R-CNN,RetinaNet-R50,RetinaNet-R101,fastText,Character-enriched word2vec,DenseNet-264,YOLO,ESM1-670M (UR50/S),6-Act Tether,SemExp,DD-PPO,DeLighT,Feedback Transformer,Sandwich Transformer,Base LM + kNN LM + Continuous Cache,Adaptive Inputs + LayerDrop,FAIRSEQ Adaptive Inputs,Transformer (Adaptive Input Embeddings) WT103,GCNN-14,Incoder-6.7B,MSA Transformer,ESM1-670M (UR50/D),ESM1-670M (UR100),ESM1-85M,ESM1-43M,ESM1b,ESM1v,Big Transformer for Back-Translation,DINOv2,Stack RNN,SCRN (Structurally Constrained Recurrent Network),All-attention network + adaptive span,ALiBi (L=3072, Lvalid = 3072),Shortformer,L_UL-seq,Masked Autoencoders ViT-H,XGLM-7.5B,ViT + DINO,Neural cache model (size=2000),Neural cache model (size=2000) (300M),LSTM (PTB),LSTM (WT2),LSTM (WT103),N-gram+Cache (PTB),N-gram (PTB),Chameleon-34B,FragLlama: Next-fragment prediction for molecular design,VDCNN (on Amazon Review Full dataset),Multi-Token Prediction 7B,Multi-Token Prediction 13B,Audioseal,code2vec,code2seq,DTN (Domain Transfer Network),GemNet-OC ,WGAN (Wasserstein GAN),Voicebox / VB-En,DenseNet201,V-JEPA 2"
Factory,United States of America,https://www.factory.ai/,Industry,Code Droid
Fast.ai,,,,ULM-FiT
Fastweb,Italy,,Industry,
Federal Institute of Materials Research and Testing (BAM),Germany,,Academia,MACE-MP-0
Financial Company P,China,,Industry,
Fireworks AI,,,,
FlagAlpha,China,,Research collective,Llama-2-Chinese 13B
Flatiron Institute,United States of America,,,DeepFRI
Forschungszentrum Julich,Germany,https://www.fz-juelich.de/en/about-us,Government,"StarCoder,Prithvi-EO-2.0 600M,Prithvi-EO-2.0 300M"
Fox Chase Cancer Center,United States of America,,,vScreenML 2.0
Foxconn,Taiwan,,Industry,FoxBrain
FPT Corporation,Vietnam,,Industry,
FPT Software AI Center,Vietnam,,Industry,"MGK 4 heads (medium),MGK 8 heads (small),ProteinReDiff"
Fraunhofer Heinrich Hertz Institute,Germany,,Research collective,UDSMProt
Fraunhofer Institute for Algorithms and Scientific Computing,Germany,,,ConfRank
Fraunhofer Institute for Translational Medicine and Pharmacology,Germany,,,Automated design of multi-target ligands by generative deep learning
French Alternative Energies and Atomic Energy Commission (CEA),France,,Government,
Friedrich Schiller University Jena,Germany,,Academia,"MACE-MP-0,Jaeger"
Friedrich-Alexander-Universität,Germany,,Academia,ZymCTRL
Fritz Haber Institute of the Max Planck Society,Germany,,Academia,MACE-MP-0
Fudan University,China,,Academia,"MOSS-Moon-003,Mnemonic Reader,LLaVA + LVIS-INSTRUCT4V,GroundingGPT,InternLM2-20B,ProtRNA,RNA-FM,OPUS-Design,CrossBind,Beyond ESM2: Graph-Enhanced Protein Sequence Modeling with Efficient,GearBind,4D Diffusion for Dynamic Protein Structure Prediction with Reference Guided Motion Alignment,InternVL1.5,InternVL2_5-26B,InternVL2_5-38B,InternVL2_5-78B,Deep-LDA"
Fujian AI Computing Center,China,https://ai.fjaicc.com/,Government,
Fujitsu,Japan,,Industry,"Fugaku-LLM,GraphBP,Takane"
Future Artificial Intelligence Computing Center,China,,Government,
Fuzhou University,China,,Academia,IDPFold
G42,United Arab Emirates,,Industry,"Jais-30b (phase 1)																												 ,Jais-70B "
Galixir Technologies,China,,Industry,AutoDiff
Gcore,Luxembourg,,Industry,
Geely Automobile Research Institute (Ningbo) Company,China,,Industry,"F5-TTS,HAM-TTS,Xingrui AI (星睿AI)"
GENCI,France,,Government,
Genentech,United States of America,,Industry,LBSTER
Genmo,United States of America,,Industry,Mochi 1
Genome Institute of Singapore,Singapore,,Academia,RiNALMo
George Washington University,United States of America,,Academia,MoEFold2D
Georgia Institute of Technology,United States of America,,Academia,"6-Act Tether,DD-PPO,UniPi,POKE´LLMON,ProteinGenerator,DolphinGemma,W.A.L.T,STORM-B/8,CollabLLM"
Ghent University,Belgium,,Academia,"Densely Connected LSTM + Var. Dropout,4 layer Densely Connected LSTM 14M (PTB)"
Ginkgo Bioworks,United States of America,,Industry,"AminoAcid-0,MLDD3UTRmRRNAS"
GMD FIRST,Germany,,,
Goethe University Frankfurt,Germany,,Academia,Automated design of multi-target ligands by generative deep learning
Google,United States of America,,Industry,"PaLM 2,Minerva (540B),LaMDA,LiMoE,Switch,ProtT5-XXL,BigSSL,GShard (dense),GShard (600B),ALBERT-xxlarge,ELECTRA,MetNet,T5-11B,T5-3B,MnasNet-A1 + SSDLite,MnasNet-A3,EfficientNet-L2,BigBiGAN,Noisy Student (L2),BERT-Large,DeepLabV3+,MobileNetV2,MetaMimic,GPipe (Amoeba),GPipe (Transformer),MobileNet,DeepLab (2017),DeepLabV3,GNMT,Xception,A3C FF hs,Inceptionv4,Inception-ResNet-V2,Wide & Deep,Youtube recommendation model,Diabetic Retinopathy Detection Net,GoogLeNet / InceptionV1,DQN-2015,Deep LSTM video classifier,BatchNorm,Listen, Attend and Spell,Inception v3,Seq2Seq LSTM,Multiresolution CNN,DeepLab,TransE,Word2Vec (large),Word2Vec (small),Ngram corpus,Adaptive Subgrad,YouTube Video Recommendation System,Semi-Supervised Embedding for DL,EfficientNetV2-XL,Unsupervised High-level Feature Learner,RoboCat,GLaM,PaLI,CoAtNet,Conformer + Wav2vec 2.0 + Noisy Student,ContextNet + Noisy Student,ST-MoE,BASIC-L,BASIC-L + Lion,Conformer,ContextNet,ViT-G (model soup),CT-MoS (WT2),Search-Proven Best LSTM,PaLM-E,mT5-XXL,ByT5-XXL,Transformer + Simple Recurrent Unit,U-PaLM (540B),ProtBERT-BFD,RT-1,TAPE Transformer,LMSI-Palm,Instruct-GPT + Mind's Eye,PaLM-SayCan,TOME,MusicLM,NMT Transformer 437M,M4-50B,Flan-PaLM 540B,Flan-T5 11B,Multitask Unified Model (MUM),Tacotron 2,BIG-G 137B,ViT-22B,SNM-skip,RNN for 1B words,ProtT5-XXL-BFD,CT-MoS + DynamicEval (WT2),CT-MoS (PTB),CT-MoS + DynamicEval (PTB),DistBelief NNLM,DistBelief Speech,DistBelief Vision,Paragraph Vector,Multilingual DNN,ReLU-Speech,DeViSE,SB-LM,KN-LM,Gemma 1.1 7B Instruct,ProtBERT-UniRef,Tacotron,LearnLM-Tutor,DataGemma,Gemini 2.0 Flash,Gemini 2.0 Flash Thinking,PaliGemma 2 3B Mix 224,PaliGemma 2 3B Mix 448,PaLM-2 Bison,PaLM-2 Unicorn,PaLM-2 Gecko,PaLM-2 Otter,EfficientNet-B1,ELIXR-B,ELIXR-C,CXR Foundation,SILC-S* (86M),SILC-S,Sec-Gemini v1,MedGemma,SignGemma,Chirp,Gemma 3n,Imagen 4,Chirp 2 Speech-to-Text,Chirp 3 Speech-to-Text,Chirp 3 HD Text-to-Speech,VQ-VAE-2 (ImageNet),VQ-VAE-2 (FFHQ),Aeneas"
Google AI,"Multinational,United States of America",,Industry,"PNASNet-5,PNAS-net,RNMT+,Fairseq + UID: variance,Meta Pseudo Labels"
Google Brain,"United States of America,Netherlands",,Industry,"Phenaki,Primer,UL2,Imagen,Imagen Video,Meta Pseudo Labels,ViT-G/14,Meena,ELECTRA,SimCLR,MobileBERT,EfficientDet,ViT-Base/32,ViT-Huge/14,SimCLRv2,Hanabi 4 player,SpecAugment,XLNet,Big Transfer (BiT-L),AmoebaNet-A (F=448),AmoebaNet-A (F=190),MoE-Multi,Transformer,NASNet-A,CapsNet (MNIST),CapsNet (MultiMNIST),NASv3 (CIFAR-10),Walking Minotaur robot,W2v-BERT,FAIRSEQ Adaptive Inputs,Transformer-XL (257M),ENAS,NAS with base 8 and shared embeddings,Large regularized LSTM,Big Transformer for Back-Translation,ResNet-RS,Mesh-TensorFlow Transformer 4.9B (language),Mesh-TensorFlow Transformer 2.9B (translation),Transformer-XL + AutoDropout (WT2),QT-Opt,Conformer + Wav2vec 2.0 + Noisy Student,CoAtNet,EfficientNetV2-XL,Flan UL2,Transformer-XL-ptb,ST-MoE,BIG LSTM+CNN INPUTS ,10 LSTMS + KN-5 (OPTIMAL WEIGHTS),Big Transfer (BiT-M),SPN (ImageNet 128),SPN (CelebA HQ)"
Google Cloud,"Multinational,United States of America",,Industry,Transformer local-attention (NesT-B)
Google DeepMind,"United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational",,Industry,"WaveNet,Differentiable neural computer,Deep Deterministic Policy Gradients,Advantage Learning,NTM,RoboCat,Attend-Infer-Repeat,UniPi,Lyria,Agile Soccer Robot,Gemini 1.0 Ultra,GNoME for crystal discovery,GraphCast,AlphaFold-Multimer,AlphaMissense,RT-2,SARA-RT-2,RT-Trajectory,RT-1 + AutoRT,Gemma 7B,Gemini Nano-2,Gemini Nano-1,AlphaGeometry,MADLAD-400 10B,OpenFlamingo,Gemini 1.0 Pro,Gemini 1.5 Pro,FunSearch,VideoPoet,Genie,SIMA,Griffin,Hawk,RT-2-X,Mixture-of-Depths,Imagen 2,The Attentive Reader,Draw,Gemini 1.5 Flash,Gemma 2 9B,Gemma 2 27B,Gemma 2 2B,AlphaGeometry 2,AlphaProof,OpenVLA,AlphaFold 3,AlphaProteo,Table Tennis Agent,GenMS,AlphaChip,Veo,Imagen 3,Med-Gemini-M 1.5,Med-Gemini-2D,Med-Gemini-3D,Soccer Robot,PaliGemma,3-ensemble of Self-ensembles on CIFAR-100,SigLIP 400M,SigLiT,GameNGen,Demostart (in progress),ALOHA Unleashed,Gemini 1.0 Pro Vision,LearnLM-Tutor,Gemini-Exp-1114,DigiRL,Genie 2,Gemma 2B,Gemini 2.0 Flash,Flexi-JEST++,JEST++,Veo 2,Gemini 1.5 Flash 8B,SigLIP,Gemini 2.0 Pro,Gemini 2.0 Flash Thinking,Gemma 3 1B,Gemma 3 4B,Gemma 3 12B,Gemma 3 27B,Gemini Robotics,Gemini 2.5 Pro,GenCast,PixelCNN,AMIE (Articulate Medical Intelligence Explorer),Gemini 2.5 Flash,DolphinGemma,TxGemma 27B,TxGemma 9B,TxGemma 2B,Gemini Robotics-ER,Veo 3,Lyria RealTime,Gemini 2.0 Flash-Lite,Gemini 2.5 Flash-Lite,FGN,AlphaGenome,Chirp 3 HD Text-to-Speech,Chirp 3 Speech-to-Text,Aeneas,DataRater test model (1B)"
Google Research,"Multinational,United States of America,Canada,Switzerland",,Industry,"PaLM (540B),Parti,UL2,ALIGN,FLAN 137B,Transformer local-attention (NesT-B),ALBERT,JFT,Transformer,Cross-Lingual POS Tagger,Routing Transformer (WT-103),LongT5,MADLAD-400 10B,Transformer-XL + FWL,Lumiere,Conformer + Wav2vec 2.0 + Noisy Student,CoAtNet,ViT-G/14,ViT-Huge/14,VideoPoet,mT5-XXL,ByT5-XXL,Transformer-XL + AutoDropout (PTB),Local Transformer (WT103),ST-MoE,PaLI-X,CoCa,Med-Gemini-M 1.5,Med-Gemini-2D,Med-Gemini-3D,Med-PaLM,Med-PaLM 2,GameNGen,ProtENN2,LearnLM-Tutor,AMIE (Articulate Medical Intelligence Explorer),Derm Foundational Model,Whale Bioacoustics Model,TxGemma 27B,TxGemma 9B,TxGemma 2B,Bird Vocalization Classifier (Perch),W.A.L.T,ViT-G/14 (LiT),AudioLM,Pix2Struct-Large,Transformers in music recommendation,SAGAN"
Government of China,China,,Government,
Government of Telangana,India,,Government,
Grammarly,United States of America,,Industry,CoEdiT-xxl
Graphcore,United Kingdom of Great Britain and Northern Ireland,,Industry,Luminous Sparse
Gray Swan,United States of America,,Industry,Cygnet
Graz University of Technology,Austria,,Academia,Spatiotemporal fusion ConvNet
Griffith University,Australia,,Academia,"SPIDER2,RNA-MSM"
Groq,,,,
Guangdong Academy of Medical Sciences,,,,Deep learning linking mechanistic models to single-cell transcriptomics data reveals transcriptional bursting in response to DNA damage
Guangdong L-Med Biotechnology Company,China,,Industry,DeepRelax
Guangdong Laboratory of Artificial Intelligence and Digital Economy (Pazhou Lab),China,,Government,"RWKV-6 (Finch) 3B,RWKV-5 (Eagle) 7B"
Guangdong Provincial People's Hospital,,,,Deep learning linking mechanistic models to single-cell transcriptomics data reveals transcriptional bursting in response to DNA damage
Guangdong-Hong Kong-Macao Joint Laboratory of Human-Machine Intelligence-Synergy Systems,China,,Research collective,MASSA
Guangzhou AI Public Computing Center,China,https://www.aipcc-gz.com/,"Government,Industry",OV-DINO
Guangzhou Inernational Bio Island,China,,,Pro-PRIME
Guangzhou National Laboratory,China,,Government,EpiScan
Gustave Roussy,France,,,Novae
H. Lee Moffitt Cancer Center and Research Institute,United States of America,,,DrugFormer
Hailuo AI,Singapore,https://hailuoai.video/,Industry,"Hailuo I2V-01-Live,Hailuo I2V-01-Director,Hailuo T2V-01-Director,Minimax Hailuo 02"
Hangzhou AI Computing Center,China,,"Government,Industry",
Hangzhou Institute of Medicine,China,,,RNADiffFold
Harbin Institute of Technology,China,,Academia,"DnCNN,FLM-101B,RNA-FM,HuaTuo,KwooLa,KwooVa,KwooGr"
Harcam Biomedicines,China,,,OPUS-Design
Harvard Data Science Initiative,United States of America,,Academia,"TxGNN,PocketGen"
Harvard Medical School,United States of America,,Academia,"Tranception,Eve,TranceptEve,BiomedGPT (182M),RoseTTAFold2-Lite,JURA Bio Model,AminoBert,DeepFRI,eFold,RENNAISSANCE,CHIEF,Precious3GPT,McMLP,TxGNN,CodonMPNN,EPInformer"
Harvard TH Chan School of Public Health,United States of America,,Academia,McMLP
Harvard University,United States of America,,Academia,"Bayesian automated hyperparameter tuning,SNARC,LSTM-Char-Large,UniRep,Rita-XLarge,GenSLM,gLM,HyenaDNA,MicroNet (Adaptive, Cache),1-layer-LSTM,Knowledge distillation student model,RNA-FM,CHIEF,TxGNN,PocketFlow,PlasmidGPT,RWKV-6 (Finch) 3B,RWKV-5 (Eagle) 7B,PocketGen"
Harvard-MIT Program in Health Sciences and Technology,United States of America,,Research collective,TxGNN
Hebei AI Computing Center,China,,Government,
Hebrew University of Jerusalem,Israel,,Academia,"ProteinBERT,AudioGen,MultiBand Diffusion,MAGNeT,OpenFlamingo,RFA-GATE-Gaussian-Stateful Big"
HEC,France,,Academia,KEPLER
HEC Montreal,Canada,,Academia,"mini-GPT-2+Active-AdamW,AtomFlow,Protst,Structure-Informed Protein Language Model,GearNet,ESM-GearNet,GearBind"
Hefei Advanced Computing Center,China,,Government,
Hefei AI Computing Center,China,,Government,
Hefei Comprehensive National Science Center,China,,Research collective,PocketGen
Heidelberg University,Germany,,Academia,"VQGAN + CLIP,Projected GAN,LDM-1.45B,ProteinGenerator,Stable Diffusion (LDM-KL-8-G)"
Heinrich Heine University,Germany,,Academia,SPOT
Helmholtz-Zentrum Dresden-Rossendorf (HZDR),Germany,,,
Helsinki University of Technology,Finland,,Academia,Kohonen network
"Henan Airport Digital City Development Construction Co., Ltd.",China,,Government,
Henan University,China,,Academia,Lightweight Fine-tuning a Pretrained Protein Language Model for Protein Secondary
Henan University of Technology,China,,Academia,improved U-Net for chest X-ray images segmentation
Hengqin Advanced Intelligent Computing Center,China,https://www.gdiist.cn/en/create,Academia,
HERE Technologies,Switzerland,,,Cloob
Heriot-Watt University,United Kingdom of Great Britain and Northern Ireland,,Academia,BigGAN-deep 512x512
hessian.AI,Germany,,Government,
Heudiasyc,France,,Academia,
High-Performance Language Technologies (HPLT),Multinational,"Our project name, HPLT, is an acronym for High Performance Language Technologies. We are aiming high at combining large quantities of data, a number of languages and high-performance computing to build powerful and efficient language and translation models. Another goal of this project is to publish the results of this project in a shared space with open licenses.",Research collective,Poro 34B
Hokkaido University,Japan,,Academia,"ProtT3,pKALM"
Hong Kong Baptist University,"Hong Kong,China",,Academia,YuYan 11B
Hong Kong Polytechnic University,"Hong Kong,China",,Academia,"DnCNN,dnaGrinder,Eagle 2,Eagle 2.5"
Hong Kong Science and Technology Parks Corporation (HKSTP),"Hong Kong,China",https://www.hkstp.org/en/,"Industry,Government",
Hong Kong University of Science and Technology (HKUST),"Hong Kong,China",,Academia,"InstructBLIP,PIXART-α,MetaMath 70B,MetaMath 7B (LLaMa finetune),MetaMath 7B (Mistral finetune),EnzymeFlow,DualNetGO,LLaVA-OV-7B,LLaVA-OV-72B,Meissonic,Grounding Dino L"
Hong Kong University of Science and Technology (Guangzhou),China,,Academia,
Huawei,China,,Industry,"Pangu 3.0,Pangu-Weather,Amended-DARTS,GPT-2 + Progressive LRD,Pangu Ultra,Pangu Ultra MoE,Pangu Pro MoE"
Huawei Noah's Ark Lab,China,,Industry,"PanGu-α,PanGu-Σ,genCNN + dyn eval,SantaCoder,GPT-2 + Progressive LRD,KnGPT2,PIXART-α,LSTM(large)+Sememe+cell,LSTM(medium)+Sememe+cell (WT2),MetaMath 70B,MetaMath 7B (LLaMa finetune),MetaMath 7B (Mistral finetune),ParetoDrug"
Huazhong University of Science and Technology,China,,Academia,"ONE-PEACE,EVA-01,DreamLLM,Beyond ESM2: Graph-Enhanced Protein Sequence Modeling with Efficient,ProTeM,EVA-CLIP (EVA-02-CLIP-E/14+)																											,FABind,CLAY"
Hugging Face,"Multinational,United States of America",,Industry,"BLOOM-176B,T0-XXL,IDEFICS-80B,BLOOM-7.1B,BLOOM-1.7B,BLOOM-1B,BLOOM-3B,BLOOM-560M,DistilBERT,StarCoder,SantaCoder,BLUUMI,BLOOMZ-176B,mT0-13B,bge-reranker-large,StarCoder 2 15B,StarCoder 2 7B,StarCoder 2 3B,INTELLECT-1,Zephyr 141B-A39B																																						,Zephyr 7B,Idefics2,IDEFICS-9B"
Hunan University,China,,Academia,"ESM-NBR,ESM-DBP"
Hungarian Research Centre for Linguistics,Hungary,,Academia,PULI GPTrio
Hut 8,United States of America,,Industry,
IBM,United States of America,,Industry,"Once for All,MS-CNN,Thumbs Up?,IBM Model 4,IBM-5,TD-Gammon,Samuel Neural Checkers,Big-Little Net,StarCoder,AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),Fold2Seq,Big-Little Net (vision),Big-Little Net (speech),Granite 13B,4-gram + 8 DENN,Deep Blue,NASA SMD,Prithvi-100M,Print Recognition Logic,AWD-LSTM-MoS+PDR + dynamic evaluation (PTB),LTE speaker verification system,MoLFormer-XL,Granite 3.0 8B,Granite 3.0 2B,Granite 3.2 8B,Granite Vision 3.2 2B,Granite 3.2 2B ,Granite Guardian 3.2,Granite 3.1 2B,Granite 3.1 8B,TerraMind"
IBM Research,"United States of America,Multinational,Ireland,United Kingdom of Great Britain and Northern Ireland,Brazil,Switzerland",,Industry,"Structure-Informed Protein Language Model,GearNet,ESM-GearNet,RoBERTa (PFAM),Granite 20B,Prithvi WxC,Prithvi-EO-2.0 600M,Prithvi-EO-2.0 300M"
IDEA CCNL,China,https://www.idea.edu.cn/research/ccnl.html,Academia,Taiyi-Stable Diffusion
Ideogram,"United States of America,Canada",,Industry,"Ideogram v2,Ideogram 3.0,Ideogram 1.0"
IDIAP,Switzerland,,Academia,"Semi-Supervised Embedding for DL,AWD-LSTM-DRILL + dynamic evaluation† (WT2),AWD-LSTM-DRILL + dynamic evaluation† (PTB)"
IDSIA,Switzerland,"The Swiss AI Lab IDSIA (Istituto Dalle Molle di Studi sull'Intelligenza Artificiale) is a joint research institute of both the Faculty of Informatics of the Università della Svizzera Italiana and the Department of Innovative Technologies of SUPSI, the University of Applied Sciences of Southern Switzerland.",Academia,"Mitosis,MCDNN (MNIST),6-layer MLP (MNIST),BLSTM for handwriting (1),BLSTM for handwriting (2),CTC-Trained LSTM,BiLSTM for Speech,NEAT,Peephole LSTM,LSTM with forget gates,VD-RHN,AWD-FWM (WT2),Linear Transformer (large),Delta RNN (+ full context),AWD-FWM (PTB),Linear Transformer (small),Variational RHN + WT (PTB),Highway Network,DNN EM segmentation,CNN Committee (NIST),CNN Committee (MNIST),High Performance CNN,CNN committee (traffic sign)"
IEEE,Multinational,,Industry,"Local Binary Patterns for facial recognition,Punish/Reward,CMS-RCNN,NPD,Deep CNN + COTS"
iFlytek,China,,Industry,"Spark 3.0,Spark 4.0,Spark,Spark 2.0,Spark-X1"
iFLYTEK Research,China,,Industry,SCUBA-D
Iliad SA,France,,Industry,
Illuin Technology,France,https://www.illuin.tech/en/,Industry,ColPali
Imbue,United States of America,,Industry,
ImmunityBio,United States of America,,Industry,
Imperial College London,United Kingdom of Great Britain and Northern Ireland,,Academia,"Genesis,DiscDiff,OMNI-EPIC"
Inception G42,United Arab Emirates,,Industry,"Jais,Jais-30b (phase 1)																												 ,Jais-70B "
Incubator 491,Australia,,Industry,bRSM + cache
Indian Institute of Science Education and Research,India,,Government,AlphaMut
Indian Institute of Technology Delhi,India,,Academia,Decay RNN
Indian Statistical Institute,India,,Academia,Fuzzy NN
Indiana State University,United States of America,,,ProteinReDiff
Indiana University Bloomington,United States of America,,Academia,CryptoGRU
Indraprastha Institute of Information Technology Delhi,India,,Academia,"Pythia-12b,Pythia-2.8b,Pythia-6.9b,Pythia-160m,Pythia-1b,Pythia-1.4b,Pythia-70m,Pythia-410m,Thermostable protein design"
Inflection AI,United States of America,,Industry,"Inflection-1,Inflection-2,Inflection-2.5"
INRIA,France,,Academia,"SEER,PAGnol-XL,Fisher Vector image classifier,Mid-level Features,Spatial Pyramid Matching,Histograms of Oriented Gradients,SeamlessM4T,DINOv2,ViT + DINO,CamemBERT,Transformer-XL + SIS"
Insight Centre NUI Galway,Ireland,,Academia,ULM-FiT
Insilico Medicine AI,"Hong Kong,China",,Industry,"Precious3GPT,Chemistry42"
Inspur,China,,Industry,"Yuan 1.0,Yuan 2.0,Hairuo,HaiYue (浪潮通用软件有限公司),Zhiye LLM (浪潮知业大模型)"
InstaDeep,United Kingdom of Great Britain and Northern Ireland,,Industry,"ProtBFN,LLPS,MACE-MP-0,EGNN,Nucleotide Transformer"
Institució Catalana de Recerca i Estudis Avançats (ICREA),Spain,,,"PocketVec
"
Institucio Catalana de Recerca i Estudis Avancçats,Spain,,Research collective,SS-pLM
Institut Universitaire de France (IUF),France,,Research collective,"VespaG,SeaMoon"
Institute for Advanced Study,United States of America,,Academia,"Genetic algorithm,ONLSTM-SYD,ProstT5,VespaG"
Institute for Numerical Simulation,Germany,,,ConfRank
Institute for Protein Design,United States of America,,Academia,ProteinGenerator
Institute for Research in Fundamental Sciences (IPM),Iran (Islamic Republic of),,,SimpleNet
